place_id,iso3,place_name,geometry_level,coverage_status,gap_status,eligible_for_promotion,coverage_reason,missing_inputs,candidate_status,candidate_promote_to_canonical,candidate_blocking_reasons,candidate_next_action,last_seen_in_release
ARM,ARM,Armenia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
ABW,ABW,Aruba,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AUS,AUS,Australia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AUT,AUT,Austria,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
AZE,AZE,Azerbaijan,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BHR,BHR,Bahrain,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BGD,BGD,Bangladesh,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BRB,BRB,Barbados,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BLR,BLR,Belarus,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BEL,BEL,Belgium,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BLZ,BLZ,Belize,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BEN,BEN,Benin,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BMU,BMU,Bermuda,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BTN,BTN,Bhutan,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BOL,BOL,Bolivia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BIH,BIH,Bosnia and Herzegovina,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BWA,BWA,Botswana,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BRA,BRA,Brazil,country,canonical_measurements,canonical,true,"Canonical country profile passed the input-gate and source-provenance checks.","",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
IOT,IOT,British Indian Ocean Territory,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
VGB,VGB,British Virgin Islands,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BRN,BRN,Brunei,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BGR,BGR,Bulgaria,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BFA,BFA,Burkina Faso,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
BDI,BDI,Burundi,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
KHM,KHM,Cambodia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CMR,CMR,Cameroon,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CAN,CAN,Canada,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CPV,CPV,Cape Verde,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CYM,CYM,Cayman Islands,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CAF,CAF,Central African Republic,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
TCD,TCD,Chad,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CHL,CHL,Chile,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
COL,COL,Colombia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
COM,COM,Comoros,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
COK,COK,Cook Islands,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CRI,CRI,Costa Rica,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
HRV,HRV,Croatia,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CUB,CUB,Cuba,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CUW,CUW,Curaçao,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
CYP,CYP,Cyprus,country,boundary_index_only,boundary_only,false,"Boundary is indexed but minimum canonical profile input gate has not been satisfied. Candidate expansion remains blocked because source snapshots not captured; licenses not fully verified; numeric values not fetched or QAed.","identity|geometry|population_denominator|land_area_context|core_socioeconomic_proxy|candidate_source_snapshot|candidate_license_review|candidate_numeric_value_QA",not_promoted,false,"PainMap hidden coverage artifacts not fetched|source snapshots not captured|licenses not fully verified|numeric values not fetched/QAed","Run Codex release compiler task to fetch source snapshots, fill values, validate licenses, and update coverage summary.",2026-05-31
